"temp";"System: temp"
"tmscompanies";"Timeshoot: Companies"
"tmsprojects";"Timeshoot: Projects"
"tmssubprojects";"Timeshoot: Sub-Projects"
"tmstasks";"Timeshoot: Tasks"
"tmstimesheets";"Timeshoot: timesheets"
"users";"Sydney: Users"
"usersgroups";"Sydney: Users'Groups"
"general.intdesc";"File type"
"general.filesize";"Weight"
"general.filemtime";"Creation date"
"img.width";"Width"
"img.height";"Height"
"img.COMPUTED.ApertureFNumber";"Aperture"
"img.IFD0.Make";"Camera make"
"img.IFD0.Model";"Camera model"
"img.IFD0.DateTime";"Date taken"
"img.EXIF.ExposureTime";"Exposure Time"
"img.EXIF.ISOSpeedRatings";"ISO"
"img.EXIF.Flash,""Flash used""";
"img.EXIF.FocalLength";"Focal Length"
"img.EXIF.ImageUniqueID";"Image Unique ID"
"video.hasaudio";"Has audio"
"video.hasvideo";"Has video"
"video.framewidth";"Width"
"video.frameheight";"Height"
"video.framecount";"Total frames"
"video.framerate";"Frame rate"
"video.duration";"Duration"
"video.bitrate";"Bitrate"
"video.videocodec";"Video codec"
"video.audiocodec";"Audio codec"
"video.audiosamplerate";"Audio sample rate"
"video.audiochannels";"Audio channels"
"video.audiobitrate";"Audio bitrate"
"video.videobitrate";"Video bitrate"
"img.IFD0.HostComputer";"Host Computer"
"img.EXIF.ShutterSpeedValue";"Shutter Speed"
"img.EXIF.ApertureValue";"Aperture"
"img.EXIF.ExposureIndex";"Exposure Index"
"mp3.mediaType";"Media Type"
"mp3.title";"Title"
"mp3.publisher";"Publisher"
"mp3.genre";"Genre"
"mp3.album";"Album"
"mp3.track";"Track #"
"mp3.recTime";"Recorded date"
"mp3.band";"Band"
"mp3.composer";"Composer"
"mp3.artist";"Artist"
"mp3.length";"Length"
"safmodules_id";"Module"
"bugtypes_id";"Bug type"
"comment";"Comment"
"safinstances_id";"Website instance"
"admin";"Admin general"
"admindb";"Admin DB"
"admindeveloper";"Developper admin"
"adminoet";"Order entry tool admin"
"oet";"Order entry tool public"
"safdoc";"Sydney Docs"
"adminlanguage";"Language management"
"adminhelp";"Help"
"admininvoicer";"Invoicer"
"adminplanner";"Planner"
"adminsidebars";"Sidebars"
"adminsongbird";"Songbird"
"admintimeshoot";"Timeshoot"
"adminusers";"Users/People"
"publicms";"Public website"
